ExcideuilExcideuil,1,Un,homé,n'ovio,,qué,doux,fis,,Lou,,pus,joüné,dissé,,o,soun,paï,Ey,,ten,qué,,,siayé,,moun,meïtré,,,,et,,qu',,ayé,,,de,l'arzen,,,Foü,qué,,,peuchi,m'en,onas,,et,qué,,veyé,,doü,paÿs,,Partozas,votré,bé,et,dounas,mé,ço,que,,,dévi,oveï,-,O plo,,moun,fis,,dissé,lou,paï,coumo,tu,voudras,,,Tu,sés,,,un,meichon,,,,,,et,tu,,siras,puni,,Oprès quò,,,drubi,,,so,tiretto,,,,portozé,,soun,bé,et,,n'en,fogué,douas,pourtioüs,,poriéras,,,
ExcideuilExcideuilbis,1,Un,ôme,n'oio,mas,,dous,firs,,Lou,,pus,joùne,disset,,ò,soun,pai,Ei,,tems,que,,iou,sio,,moun,meitre,,,,et,,qu',,aie,,,de,l'argen,,,Foùt,que,,,peusse,m'en,onâ,,et,que,,vèse,,doù,poïs,,Partojas,votre,be,et,boillas-,me,ço,que,,,dèvi,oiei,-,Ô,,moun,fir,,se disset,lou,paï,coumo,,voudras,,,Tu,sès,,,un,meichont,,,,,,et,tu,,siras,puni,,Oprès co en,,,drubi,,,uno,tiretto,,,eù,partojet,,soun,be,et,,n'en,foguet,douas,parts,,parièras,,,
SaintPierredeChignacMilhacdAuberoche,1,Un,hommé,n'ovio,nouma,,dou,fils,,Lou,,pu,zoôuné,diché,,o,soun,paï,Eï,,ten,qué,,,sio,,moun,meïtré,,,,et,,qu',,aïo,,,dé,l'artzen,,,Foôu,qué,,,petso,m'en,ona,,et,qué,,vetso,,déou,poï,,Portotza,votré,bé,et,douna,mé,cho,qué,,,dévé,oveï,-,O,,moun,fils,,diché,lou,paï,coumo,tu,voudras,,,,Ché,,,un,meïtson,,,,,,et,tu,,chiras,puni,,Puis,,,drubi,,,cho,tiréto,,,,portotzé,,soun,bé,et,,n'en,fogué,doua,pourchioûs,,eïgolas,,,
SaintPierredeChignacSaintPierredeChignac,1,Ün,homé,n'ovio,,qué,dous,droleïs,,Lou,,pù,dzoouné,dissé,,o,soun,paï,Ey,,tèmps,qué,,you,sio,,moün,meytré,,,,et,,qu',,ayo,,,dè,l'ardzent,,,Foou,qué,you,,petso,m'èn,ona,,et,qué,,vedzo,,doou,pays,,Partodza,vôtré,bé,et,dounà,mè,tso,qué,,,dévé,ovay,-,O,,moun,drôlé,,ditsé,lou,paï,coumo,tu,voudras,,,Tu,tsé,,,ün,meïtson,,,,,,et,tu,,tsiras,puni,,Puis,,,drubont,,,tso,tiretto,,,,partodzé,,soün,bé,et,,,fogué,douas,pourtious,,eïgolas,,,
SaintPierredeChignacEyliac,1,Un,homè,n'ovio,nouma,,dous,firs,,Lou,,pu,joonè,dissè,,o,soun,paï,Ei,,tein,què,,you,sio,,moun,meytrè,,,,è,,què,,ayo,,,dè,l'erzeint,,Eou,foo,què,you,,pesso,m'ein,ona,,è,què,you,véso,,doo,poiïs,,Pertoza,votrè,bè,è,bolia-,mè,cho,què,you,,dévè,ovéï,-,O,,moun,fir,,dissè,lou,paï,coumo,tu,voudras,,,Tu,sé,,,un,méïchont,,,,,,è,tu,,siras,puni,,Oprès,,,drubont,,,un,tirouer,,,eou,pertozè,,soun,bè,è,,n'ein,foguè,douas,poursio,,poriéras,,,
SaintPierredeChignacSaintGeyrac,1,Ün,hômé,n'oviot,noumâ,,dous,fils,,Lou,,pu,jouiné,disset,,o,soun,paÿ,Ey,,temps,qué,,,sio,,moun,meÿtré,,,,et,,qu',,ayo,,,dé,l'argent,,,Foou,qué,,,peuché,m'en,ona,,et,qué,,vézo,,d'oou,poï,,Partogeas,vôtré,bé,et,dounas-,mé,ço,qué,,,dévy,ovey,-,Ô,,moun,fils,,disset,lou,paÿ,coumo,tu,voudras,,,,Ses,,,ün,meÿchen,,,,,,et,,,siras,puni,,Opey,,,drubi,,,so,tiréto,,,,partogé,,soun,bé,et,,n'en,foguet,douas,pourtious,,eygalas,,,
SaintPierredeChignacBassillac,1,Uun,homè,n'ovio,nouma,,doux,fïrs,,Lou,,pu,zoounè,dichè,,o,choun,paï,ey,,tin,què,,iou,chio,,moun,meytrè,,,,et,,què,,aïo,,,dè,l'erzint,,,foou,què,iou,,peusso,m'in,ona,,et,què,iou,vézo,,doou,poï,,Pertoza,votrè,bè,et,douna,mè,cho,què,iou,,dévè,diovey,,O,,moun,fir,,dichè,lou,paï,coumo,tu,vourras,,,Tu,ché,,,uun,meyssin,,,,,,et,tu,,chiras,puni,,Oprés,,,drubont,,,uno,tirèto,,,,pertozé,,choun,bè,è,,n'in,foguè,douà,perts,,eygolas,,,
SaintPierredeChignacSainteMariedeChignac,1,Un,homé,n'ovio,nouma,,doû,fis,,Lou,,pu,zoouné,diché,,o,choun,pay,Ey,,ten,qué,,,chio,,moun,meytré,,,,et,,qué,,ayo,,,dé,l'erzen,,,Foou,qué,,,peusso,m'en,ona,,et,qué,,vézo,,doou,poyi,,Pertoza,votré,bé,et,douna,mé,cho,qué,you,,devè,ovey,-,O,,moun,fis,,diché,lou,pay,coumo,,voudra,,,,Ché,,,un,meissen,,,,,,et,,,chira,puni,,Opré co,,,drubon,,,un,tiroir,,,,pertozé,,choun,bé,et,,nen,fogué,doua,pourtiou,,eygola,,,
SaintPierredeChignacBlisetBorn,1,ün,hommè,n'ovio,,què,dous,fils,,Lou,,pu,zoaûnè,dichè,,ô,choun,paï,Eï,,teimps,què,,you,chio,,moun,meïntrè,,,,ai,,què,,ayo,,,dè,l'arzein,,,Foaû,què,you,,péssè,m'ein,ona,,ai,què,you,véjè,,dôou,poys,,Partoza,vôtro,fourtuno,ai,douna,mè,cho,què,you,,débè,oveï,-,Oui,,moun,fils,,dîchè,lou,paï,coumo,tu,voudras,,,Tu,chés,,,un,meïssin,,,,,,ai,tu,,chîras,puni,,Puis,,,drubont,,,ün,tiroir,,,eû,partôzé,,cho,fourtuno,ai,,n'in,foguè,douas,pourchious,,eïgolas,,,
SaintPierredeChignacSaintLaurentsurManoire,1,Un,homé,n'ovio,nouma,,dou,fis,,Lou,,pu,zoouné,diché,,au,choun,paï,Ey,,tin,qué,,iou,chio,,moun,meytré,,,,et,,qué,iou,ayé,,,dé,l'erzen,,Eou,foou,qué,iou,,peusso,mén,ona,,et,qué,iou,vézo,,déou,poys,,Pertoza,votré,bé,et,douna,mé,cho,qué,io,,dézé,ovey,-,O,,moun,fis,,diché,lou,paï,coumo,tu,voudras,,,Tu,ché,,,un,meyssin,,,,,,et,tu,,siras,puni,,Opré,,,drubié,,,un,tiroir,,,et,pertozé,,choun,bé,et,,n'in,fogué,doua,poursiou,,eygola,,,
