78-roma-1326	32	.	As 						couvain 				d’a 		s'allegrer 	e 	da 						festager				"
            "				, 	siand chia quist 		tieu 	frer 										eira 	mort 							ais returnô in vitta		, 						eira 	pers 		ed 							"ais rechiattò
            "			.
79-roma-1326	32	.	Mo 																									s’	alegrar convengiva		, 	perchia quest 		"tees
            "	frar 										éra 	mort 			et 				eis revivü		, 			el 			éra 	péri 		et 							eis chiatà			.
80-lang-1309	32	.	Més 						foulié 										faire 				boumbance 		é 			nous 	réjoui		, 	par so qé		voste 	frero 										éro 	mor 			é 				és ressuscita 		; 						éro 	perdu 		é 							és isla retrouba			.
81-fran-1269	32	.	Mâ		, tèmuin dè té, on ne puei pâ dè min quiè dè 																							"scbè
            "	rèdzoï		, 	dû 		ton 	frâre 							que 	li		irè 	moî 						li	è rèschuschitâ		, 	que 			li		îrè 	perdu 		"et
            "				li 			è retrova 			.
83-prov-1235	32	.	May 						fallé 										faire 				festo	, 	e 			nou 	rejouir 			parcequé 		vouostré	frero 										ero 	mouort 							ressuscita		, 	qu’					éro 	perdu 		e 	qu’						és retrouva			.
84-norm-1245	32	.							Fallais	i 		pas 		ben 	noçai 										et 			s’	mette d’ belle himeur		,	pisque 		ten 	frère 	que 				v’Ià 		qu’			était 	défunt 			qu’				est r’ssucitai 		; 		j’		l’	aviomes 		"perdu
            "		et 		le 	v’là				r’trouvai			.
85-prov-1235	32	.	Mai 						foulié 										fairé 		un 		noueço 		et 			si 	régalar 		; 	perce qué 	"
            "	vouestre 	fréro 										ero 	mouart 			et 				a ressuscitat		, 						ero 	perdut 		et 					l’		"aven retroubat
            "			.
86-prov-1235	32	.	Ma 			ou 			caillea 										far 				bounbança 		é 			se 	regalar 			"parcéqué
            "		vostrou 	frai 										era 	morto 			é 				fa rechuchitaou		, 						fera 	perduou 		é 				ou 		s’	"é rétrouvaou
            "			.
87-high-1290	32	.	Qu’			il i 			ere bein geouste 								qu’	él 											témoignisse de la geouye		, 	puisque 		son 	fils 										iere 	mort																	, 						l’		iere ressouscita			.
88-fran-1270	32	.	Qu’			èl 			était bin geute 								qu’												motreusch de lè geoë		, 	"iaint
            "		son 	fés 	qu’									était 	moë 							était ressiscilè																					.
89-fran-1270	32	.	Qu’			al 			ère bin geeute 								qu’												tèmoignisse du geoïe		",
            "	puisque 		son 	fès 	qu’									ère 	mort 																												.
90-fran-1270	32	.	Qu’			al 			était bin geute 								de 											se 	regeoir	 		vu que 		son 	"fés
            "	qu’								al croyait 		moe 							était ressuscitâ																					.
