52-lang-1309	13	. 												Quaouqués 						jors 					après 					quand 				lou 			pu 	jouiné 								aget 			"amassat
            "			tout 	ce 						seou 																		partiguet 											et 	s 	en					anet 																	dins 		un 		païs 							pla 	liont 			et 		aqui 											dissipet 				"tout
            "		soun 		bé 			en 		bisquen 									dins 	la 	debaouchou																					.
53-lang-1309	13	. 												Quaouques 						jours 					après 									lou 			pus 	jouines 	d	aquelles 		"efans
            "		quand 					aget 			tout 							raspaliat												, 																		s’	en 					anet 																	dins 		l’	estrange 	païs 							pla 	lion	, 		et 		"lai
            "								"il
            "			fricasset 				tout 		sen 		déqué 			en 		bisquen 															coume	un 	libertin															.
54-lang-1309	13	. 						En 	sorto 	qué 				pauc 				de 		xouns 					aprép				, 					lou 			pus 	joubé 								"ayant
            "			amassat 			tout 	ce 	qu’					abié												, 																		s’	en 					anet 	bouyaxa 																dins 		un 		païs 							fort 	éloignat	, 		et 		aqui 											dissipat 				tout 		soun 		bé 			en 		biben 									dins 	la 	debaxo																					.
55-lang-1309	13	. 												Paou 				de 		geours 					après 									aquestè 			pu 	geoubè 				fil 							amassét			tout 	aquo 	siou																	, 																		s’	en 					anét 																	din 		un 		peïs 								éloignat 			é 							y 						dissipét 				tout 		soun 		bè 			en 		"viven
            "									din 	la 	dèbaucho 																					.
56-lang-1309	13	. 												Quaouques 						jours 					après				, 					lou 			pus 	jouiné 											empourtet 	enb’	"el
            "	tout 	cé 	qué 					aviè 												, 	é 																	s’	en 					anet 	vouyagea 																din		un 		peys 			estrangè						, 									ounté 						déspensèt 				"tout
            "		soun 		ben 														en 		dèbaousas																					.
57-auve-1239	13	. 								Et 				quaouquoui 						djours 					après				, 					lou 			plu 	djoueine 											"acampet
            "			tout 	ce 	qu’					avio												, 																	per 							ana 																	dins 		un 		pays 								ilouagnat 			et 										lli 			manjet 						soun 		bè 			en 	se	gala																																.
58-viva-1235	13	. 	Résté 		pa 	guairé 	d’																																										empourta 	anb’	el 	tout 	cé 	qué 					avio																																																					end’		un 		poïss 							bien 	louon	, 		é 		l’ai-ou											mongé 				tout 																		en 		débauchos																					.
59-viva-1235	13	. 												Po 				de 		teimps 					après 																					eyants 			amassa 			tout 	ce 	quol’					"ayot
            "															s’	ein		fuguait 																																			dieinz 		un 		patiis 							biein 	luïn 										ounteszo 						dépensait																						"ein
            "		débauches																					.
60-prov-1235	13	. 												Caouqueis 						jhours 					après				, 					lou 				cadé					, 	après 		avédre 			"ramassa
            "			tout 	ce 	qu’					avié												, 																		s’	en 					ané 														ben 	ïeun 		din 		l’	estranghé 	peïs									, 									ounté 						mangé 				tout 		soun 		"ben
            "			en 		viven 									din 	la 	débaoucho																					.
61-prov-1235	13	. 												Caouqës 						jhours 					après 									lou 				cadë 											accampët 			ton 	cë 	qu’					avié 													"ë
            "																	s’	ën 					annet 														for 	liéun 		àou 				pëis 			ëstranghë						, 									ountë 						manghé 						soun 		bën 			ïn 		mënan 																	"marido vido
            "															.
62-prov-1235	13	. 								Dins 				quauqueis 						jours									, 					lou 			plus 	jouven 											rempecta 			tout 	"ce
            "	que 			li 		venié 													et 																	s’	in 					anet																	dins 		dùn 		pays 			estrangier 				fouesso 	luenc 	; 				aquito 											"manget
            "				tout 		soun 		ben 						dins 	leis 	plesirs 		et 					la 	débaoucho																					.
63-prov-1235	13	. 												Paou 				de 		jours 					après				, 					lou 				pichoun 														tout 	ce 	"qué
            "	soun 	païré 	li 	avié 	desemparat 													et 																	s’	en 					anét 																	dins 		un 		païs 							fouerço 	luench 										"ounté
            "						dissipét 				tout 		soun 		ben 															en 	debaoucho																					.
64-prov-1235	13	. 												Quaouqué 						dzours 					aprè				, 																				prenen 	am’	éou 	tout 	cé 	qué 					"avié
            "																														s’	en 					ané 	vouïadza 																din 		un 		péys 								élougna	, 									vounté 						déspénsé						soun 		ben 															en 	débaoutze																					.
65-viva-1235	13	. 												Quaouquei 						jours 					après				, 					aquesté 	enfan 			cadé 								aguen 			"ramassa
            "			touté 	sei 						richessos				, 																										s’	in 					anè 																	din 		un 		païs 							bien 	bien	, 									vonnté 						dissipé 				tout 		soun 		"ben
            "			en 		viven 															coumo 	un 	galavar															.
66-viva-1235	13	. 												Paou 				dé 		jours 					aprè				, 					lou 			pu 	jiouiné					, 						enpourtan 	emb’	"oué
            "	tou 	cé 	qu					avi				, 																										s’	en 					ané 	vouiagia 																din 		un 		païs 								eilounia	, 									sounté 						déspénsé 				tou 		"soun
            "		bén 														én 		deibaouchios																					.
67-viva-1235	13	. 								Din 				quauqueis 						jour 	d’				aqui 																					aguén 		tout 	acampa														, 	lou 		"plu
            "	jouiné 	fieou 									parlé 											per 							ana 	vouyagea 																dins		un 		pais 								éloigna 			é 		aqui 					y 		agué 	léou 			"mangea
            "						soun 		bén 			en 		vivén 									din 	la 	débaouche																					.
68-viva-1235	13	. 								Et 				quauqués 						jours 					après 	s’	assemblerunt 	tous 																																			et 	"lou
            "	garçon 	plus 	jeunet 										partiguet 																																			per 		un 		païs 			étrangler						, 				aqui				, 							dissipet 						son 		bien 			"in
            "		fasant 							mauvaiso 	vio																								.
69-viva-1235	13	. 												Pa 	gron 					témps 					oprés				, 					lou 			plus 	dzuèné 	d’	èquélous 	"doux
            "	éfons	, 			oïon 			romossa 			tout 	cé 	qu’					ovio 																														s’	én 					oné 		pèr 	pois 														dins 		ùn 		éndré 	qu’	éro 					bién 	"lén
            "			et 		léi 											dissipé 				tout 		soun 		ovéz 			én 					ècxés 		et 						déibaoutsas																					.
