61-prov-1235	24	. 		Parço q’						aqël 		ëfan 										ero 	mor 		ë 							ës 		ressuscita		, 					ëro 	perdu 		"ë
            "							ës 	retrouva 	; 	e 					së 	mëtëghëroun 							à 	faire 		grondo 	chêro											.
62-prov-1235	24	. 		Parce que 						moun 		fieou 								qu’		éro 	mouart 									a 		ressuscitat		, 					"ero
            "	perdut 		et 					l’		aï 	retroubat 	; 	"et
            "						coumenceroun 						doune 									à 	s’			intaular			.
63-prov-1235	24	. 		Parce qué 						moun 		fieou 								qu’		éro 	mouart 									és 		revioudat		; 					"éro
            "	perdut	, 								és 	retrouba 		et 			toutei 		si 	metteroun 															en 				joyo			.
64-prov-1235	24	. 		Parcéqué 	veici 					moun 		fis							, 	qu’		ére 	mor	, 			qu’					ei 		ressuscita		",
            "					ère 	perdu 		é 							és 	atrouva	, 	é 						coumencéroun 							à 	faire 		bone 	tziére											.
65-viva-1235	24	. 		Paça qué 						moun 		enfan 										éro 	mouart 																					et 					l’		avén 	attrapa 	; 	"et
            "						coumencéroun 															dé 	sé 			régala			.
66-viva-1235	24	. 		Parcé qué 			ci 			moun 		garçoun 								qu’		éro 	mouar 		é 							ei 		ressicita		, 					éro 	perdu 		é 							ei 	rétrouva 	; 															faguéroun 		grande 	festo											.
67-viva-1235	24	. 		Qu’			éisso 	es 		moun 		fieou 								qu’		ére 	mouer 		é 		qu’							revieouda				qu’			avié 	péri 		é 				qu’			es 	rétrouba 	; 	é 					sé 	météroun 															à 	sé 			régala			.
68-viva-1235	24	. 		Parce quel 						aquau 		garçon 										èro 	mort 		et 							é 		ressuscita 		; 					"èro
            "	perdu 		et 						s’	é 	trouva 	; 	et 																						se 			regalerent			.
69-viva-1235	24	. 		Per cé qué 						moun 		gorçou 		qué 		voqui 						éro 	mouort 		et 		qu’					"éi
            "		ressuscita		, 		qu’			éro 	pérdu 		et 				qué 		s’	èi 	rétrouva 	; 	et 	tout doré 					coumméncè 											féto											.
70-viva-1235	24	. 		Parce que 						moun 		garçou 		que 		vecqui 						ere 	mouert 		et 							"es
            "		ressucitat		, 					ere 	perdut 		et 							es 	retrouba 	; 	et 	alors 					coumenceroun 															à 	se 			regalar			.
71-fran-1269	24	. 		Parce que 			ley 	cè 		mon 		fi 								qu’		etey 	moré 		è 						l’	est 		rèsuscité		, 	è 				fètey 	perdu 	é 	è 					l’		est 	retrov 	; 	é 							è 							l’on fé 		granta 	féta											.
72-fran-1269	24	. 		Po san que 						sti 		valè 									l’	ètei 	mô 		è 						l’	è 		revegnei in via		",
            "			l’		ètei 	pèrdu	, 	è 					l’		è 	retrova 	; 							queminciron 						adan 	a 		lau 		trètâ 		è 		a 	lau 			règalâ			.
74-fran-1270	24	. 		Parceque 						mon 		valé 		que 		vaitinque 						ire 	moua 		et 						il 	"lié
            "		retorna en vie		; 			il 		ire 	perdu 		mâ 					il 		lié 	retrova	. 	Et 				ils 		keminciran							à 	"fére
            "		bouna 	tzira											.
75-viva-1235	24	. 			Vaicia 					mon 		fi 								k’		étai 	mour	, 							al 	é 		ressuscita		, 			al 		"étai
            "	perdu	, 						al 		é 	retrova	. 	Y 					se 	boutaron 						don 									à 	se 			rejuï			.
76-viva-1235	24	. 		Parce que						moun 		ënfan 		que 		vëichi 						ere 	mouert 		ët 							"es
            "		ressuscita		, 					ere 	pardu 		ët 							es 	retrouba 	; 							coumëncëroun 						dounc 	dë 	faire 		"grande
            "	chiere											.
77-roma-1326	24	. 		Perche quist 						mien 		filg 										eira 	mort 		ed 							ais 		return in vitta	"
            "	, 			el 		eira 	pers 							ed 		ais 	rechiattô	. 		Usche 					comanzetten 	els 														a 				ster légers			.
78-roma-1326	24	. 		Perchia quest 						mees 		filg 										éra 	mort 		et 							eis 		revivü 		; 					"era
            "	péri 		et 							eis 	chiata 	; 	et 				els 		han eumeinza 	il 																		past d’algrezia			.
79-lang-1309	24	. 		Par so qé 						moun 		fil 										éro 	mor 		é 							es 		ressuscita 		; 					éro 	"perdu
            "		é 							es ista 	retrouba 	; 							coumenceroun 						doun 	a 	fairé 			bounbance											.
80-fran-1269	24	. 			V’la que 					mon 		faill 								qu’		était 	mort 									est 		r’vilé		, 			l’		"était
            "	pardu 		et 	y 	vint 	de 		l’			retrouvre	. 																													
81-prov-1235	24	. 		L’motif en est qu’						notte 		garçon 		que 		v’la						était 	"défunt
            "		et 						il 	est 		r’ssucitait 		; 			j’l’		aviomes 	perdu 		et 					il 		est 	r’trouvai	. 		Là d’sus	,		"i
            "		c’menchirent															à 				noçai			.
82-prov-1235	24	. 		Perce que 						moun 		fieou 		que 		eici 						ero 	mouart 		et 							"es
            "		ressuscitat		, 					ero 	pardut 		et 					l’		aven 	troubat	. 							Coumenceroun 						donc 									à 	si 			regalar			.
83-prov-1235	24	. 		Parcé qué 					ou 	me 		fillou 		que 		vé li 						era 	mortou 		é 						l’	"a
            "		rechuchitaou		, 			l’		era 	perduou 		é 					ou 	s’	è 	retrouvaou 	: 							coumençan						douca 	a 	"far
            "			festin											.
