47-lang-1309	22	. 	Mes 						le 	paire 			digueg 		à 		sous 	baillets 						: 							Bite 	pourtax 							"la
            "		premiera 					rauba 										et 				bestissen 				le 				et 				mettes 		ly 		una 	bagua 				al 		dit 			et 				de 	souliers 	"as
            "			pés				.
48-lang-1309	22	. 	Mes 						le 	paire 			digueg 		a 		sous 	bailtets 						: 							Bite, 	pourtax 							"la
            "		premiera 					rauba 										et 				bestissen 				le 				et 				mettes 		ly 		una 	bagua 				al 		dit 			et 				de 	souliers 	"as
              "			pés				.
49-cata-1291	22	. 	Empero 					digue 	lo 	pare 					als		seus 	mossos 						: 							Prestament 	"portau
            "							la 	vestidura 	primera 															y 				posau 				li 			: 					posau 		li 		l’	anell 				en 		ma		, 	y 					calsadura 	à 		"sos
            "	peus				.
51-lang-1309	22	. 							Soùn 	païré 			diguée 		à 		sous 	baïléts 						: 		Anats 						quérré 					"
            "	dé suito 	sa 		prumièro 					raubo									, 					cargats	-	y 		lo			, 					mettez 		y 		soun 	anel 				à 	la 	ma 		; 		baillats	-	"y
            "	uno 	caussura								.
52-lang-1309	22	. 	Alors 						lou 	païré 			diguet 		a 		sous 	barlechs 						: 								Pourtas 						bité	sa 		premieiro 					raoubo 										et 				bestisses 				lou 			; 					mettez 		li 		"un
            "	anel 				aï 		det 			et 				dé 	souliés 	a 		sous 	pés				.
53-lang-1309	22	. 	Aladoun 						lou 	pera 			dis 		à 		sous 	doumestiquas 						: 							bite 	"pourtas
            "							sous 		premiers 					bestiméns 										et 				habilia 				lou 			; 					mettez 		ye 		un 	anelai 				ai 		det 			et 				de 	"souliers
            "	as 			pés				.
54-lang-1309	22	. 	Alaro 						lou 	païré	, 		diguet 		à 		sous 	bailets 						: 								Pourtas 						"bité
            "	sa 		premiéro 					rabbo									, 	et 				rebestissez			-	lou 	né 		; 					mettés 		li 		un 	anel 				al 		det 			et 				"dés
            "	souliérs 	as 			pes				.
55-lang-1309	22	. 	Mè 						lou 	pero 			diguét 		à 		sous 	doumesticos 						: 								pourtat 											la 	"pu
            "	bello 	raoubo 										é 				vestissét 				l’	en 			é 				mèttét 		li 		uno 	baguo 				al 		dèt 			é 				de 	souliés 	as 			pés				.
56-lang-1309	22	. 	Mais 						lou 	pèra 			diguet 		à 		sous 	barles						: 								Pourta 		yé 				vité 	"soun
            "		prémie 					habi 										é 				métés 		ye 		lou			, 					metes 		y 		un 	anel 				aou 		dét		, 	é 				dè 	souyes 	as 			pèsés				.
57-auve-1239	22	. 	Adounques	, 					lou 	paire 			diguet 		à 		sous 	veilets 						: 								Adiu	-	"zet
            "				viste 					ma 	plus 	dzente 	raoube 										et 				habilla 				lou			, 					bouta 		lli 		una 	bague 				eï 		dè 	amaï 						"de
            "	souliez 	à 		sous 	pez				.
58-viva-1235	22	. 	Pos men 						soun 	pèro 			digué 		à 		sous 	messagés 						: 								Pourta	-	"li
            "				vistomen 	sa 		promiuro 					raoubo									, 	e 				vestissé 		li 		lo			, 					meté 		li 		uno 	baguo 				aou 		det 			e 				"de
            "	souliés 	os 			pés				.
59-viva-1235	22	. 	Alor 						lou 	peire 			dissiguait 		a 		sous 	valets 						: 								Aduyeis 		"me
            "				vite 					soun 			cor de peille										et 				vitissais 				lou			, 					mettes 		li 		una 	baga 				au 		dé 			et 				de 	sulieirs 	"à
            "		sou 	peis				.
60-prov-1235	22	. 	Alor 						lou 	péro 			dighé 		à 		seï 	variés 						: 		Anas 					vité 	qhère 											"la
            "	pu 	bêlo 	raoubo 										et 				carga 		yé 		là			, 					mété 		yé 		un 	anel 				aou 		dé 			et 				de 	souyés 	eï 			pés				.
61-prov-1235	22	. 	Mé 						lou 	përo 			dighé 		à 		sous 	serviturs 						: 								Appourtas 						vitë 					"la
            "	pu 	bëlo 	raoubo 										ë 				mëté	-	ië 					; 					mëté	-	ié 		uno 	baguo 				a 	soun 	dë 			ë 				dë 	souiés 	à 		sous 	pés				.
62-prov-1235	22	. 	Alors 						lou 	païré 			souenet 				seis 	varlets	, 	et 	li 		diguet 	":
            "								Sarcas 							sa 		première 					raubo 										et 				viestisses 				lou			, 					mettes 		li 		un 	anneou 				oou 		det 			et 				"de
            "	souliers 	a 		ses 	peds				.
63-prov-1235	22	. 							Lou 	païré 			diguét 		à 		sei 	servitours 						: 								Aduas 						vité 	"soun
            "		premier 					viesti 										et 				mettes	-	vé	-	li			, 	ensin qu’								uno 	bago 				à 	soun 	dét 			et 				de 	soulies 	"à
            "		sei 	pés				.
64-prov-1235	22	. 	Mai 						lou 	père 			digué 		à 		séi 	varié						: 								Aduzé 						vitamen 	"sa
            "		prémière 					raoubo 														cargayé 								é 				boutayé 				un 	anéou 				oou 		dé 			é 				dé 	souyé 	éï 			pé				.
65-viva-1235	22	. 	Mé 						lou 	péré 			digué 		à 		sei 	variés 						: 								Adduzés 		leou 									la 	"pu
            "	bello 	raoubo									, 					mettei 		la 			à moun enfan		, 					passas 				un 	anneou 				à 	soun 	dé 			et 				dé 	"souliés
            "	à 		ses 	pés				.
66-viva-1235	22	. 	Mé 						lou 	péré 			digué 		à 		sés 	variés 						: 								Adusé 		li 				"tou dé suito
            "	sa 		prumiéro 					raoubo									, 	é 				bouta 				li 	la 		; 					bouta 		li 		un 	aneou 				oue 		dé 			é 				dé 	souliés 	"és
            "			pés				.
67-viva-1235	22	. 							Lou 	pairé 			digue 		a 		seis 	varléts 						: 	"Vite 
              "	"adusé
              "						"aduas
             "		li 									"sa 
              "	"béle
              "	"bélo
            
            
              "	"raoube
              "														abiya 				lou			, 					béila 				un 	anéou 	pér 	sé 	mètre 	oou 		dé 			é 				dé 	soulié 					pér 	"sé
            "	cooussa	.
68-viva-1235	22	. 	Mais 						lou 	peret 			diguet 		à 		sous 	valés 						; 							Vitet, 	apporta 							"un
            "							habit 	novet 									et 				vestisset 				lou 			; 					boutâ 		gli 		uno 	baguo 				au 		det 			et 				de 	souliers 	"aux
            "			pies				.
69-viva-1235	22	. 							Lou 	péré 	olors 	dé 	diré 		o 		sous 	valèï 						: 								Odduzè 		li 	"
            "			bién léou	so 	rooubo 	prumièro 															et 				possè 		li 		lo			, 	et 				boultè 		li 		uno 	baguo 				o 	lo 	mon 			et 				"dé
            "	souliérs 	oou 			pês				.
