79-roma-1326	31	.	Mo 	il 		bap 		ha dit 		ad 	el 	: 			Filg									, 						tu 		eis 	adüna 		cun 	mei	, 	"et
            "	tot 																	eis 	il 			tiò			.
80-lang-1309	31	.		Lou 		pero 	li 	digué 				: 		Moun 	fil									, 								sés 	toujours 		embé	yeu 		"é
            "	tou 	so 		që 	il 			mio 				aï 						és 				vostré			.
81-fran-1269	31	.												Mà 	fe	, 	lei 	deje 	le 	bon vilio				, 	n’î-ssho pâ on bènei ?				Tè,	te 		schaubrè 	totèvi 		avuei 	mè 		et 	to 	schin 		que 	li	è 		mio	, 								li’	è 				tio			.
82-poit-1241	31	.												Mon 	faill 		qu’	o d’cit 	le 	boun’houme				, 		tas tort de t’fàchaie y sait que													tout 	c’		qui 		est 		itchi 										est 			a 	té			.
83-prov-1235	31	.		Soun 		pero 	li 	digue 				: 		Moun 	flou	, 						quant à 	vous 									"sias
            "	toujour 		eme 	iou 		et 											noun 	bai 		ren 	que 	noun 		sieguè 				vouostré			.
84-norm-1245	31	.												Men 	garçon	, 	qu’	fit 	l’	bonhomme				, 								fes 	tajoûs 		d’a veuques	mei 		et 	tout 	c’		que 						j’		ons 						est 			à 	tei			.
85-prov-1235	31	.		Lou 		péro 	li 	diguet 				: 		Moun 	fieou 																	siés 	toujours 		ame 	"yeou
            "		et 	tout 	cé 		qué 								ei 						es 			à 	vous			.
86-prov-1235	31	.	Alavouo 	rou 		par 	gué 	diché 				: 		Mé 	fillou									, 						ou 		s’é 	"toujour
            "		coun 	mi 		é 	tutou 	ce 						moi 										è 			per 	voui			.
88-fran-1270	31	.	Mains 	son 		père 	yi 	reponjé 				:																																																			
89-fran-1270	31	.	Mais 	son 		père 	li 	réponda																																																							
90-fran-1270	31	.	Ma 	son 		pâre 	yi 	répoujét				.																																																			
