60-prov-1235	16	. 								Et 																																											aourié 			ben 	vougu 																	rempli 	soun 	ventre 					deï 		pélouiros					, 	que 			leï 	por 	mangeavoun						, 	mé 				rés 			n’				y 	en 			"dounavo
            "	paca																				.
61-prov-1235	16	. 								E 																																											aourié 			ben 	vougu 																s’	assadoula 							das 		"couroubios
               "						që 			lous 	pors 	manjhavoun 						; 	me 				dégun 			n’					"in
            "			dounavo																					.
62-prov-1235	16	. 																																								Aquito 											sérié 	esta 		ben 	countent 	de 						pousque 									s’	assadoular							deis 		gruyos 	que 		dounavoun 	à 			mangear 		eis 	pouarcs 							; 	maï 				dégun 			n’				i 	n’en			dounavo																					.
63-prov-1235	16	. 																																								Aqui 											aurié			ben 	vougu 																	rampli 	sa 	panso 					dei 		grueilhos 						"que
            "			lei 	pouarcs 	mangeavou						, 	mai 				degun 								nin 			dounavo																					.
64-prov-1235	16	. 								E 																																															désiravou 	dé 		sé 				poudé 										rampli 	lou 	ventré 					déï 		"rouvures
            "						qué 			léï 	por 	mandzavoun						, 	maï 				rès 								gnién 			dounave																					.
65-viva-1235	16	. 																																																			Ouri 			proun 	vougu 																se 	sadoula 							de 	l’	aglan 						que 	mangeavoun		les 	pouars							, 	mé 				rés 			n’					in 			dounavo 		gis																			.
66-viva-1235	16	. 																																								Aqui 															désiravo 	dé 		sé 				pouvér 										rampli 	l’	estouma 					dés 		"cofos
            "						qué 			lés 	pouars 	mangiavoun 						; 	mé 				dingu 			n’					in 			dounavo																					.
67-viva-1235	16.																																																				Avié			béou	énvégea													d’				enpli	soun	véntré							déiscoucourdes		"
"				que			léis	pouers 	mangeavoun						,					dégun 			n’					in	voulié	gés	donna																					
68-viva-1235	16	. 																																																			Auriot 				vangu 																se 	remplir 	lou 	ventret 					de 	las 	restas 						"che
            "	migeavant 		lous 	cayons 								et 				dingu 					las 	gli 					dounâvo																					.
69-viva-1235	16	. 								Et 					quon 	leï 	fuguè	n’																																			oourio 		pas 	mèi 	démonda 	qué dé 															"sé
            "	forci 	lou 	pitré 					de 	las 	coffàs 						qué 	mindzavoun 										; 	mé 				déngu 			n’					in 			dounav																					.
70-viva-1235	16	. 																																								Acqui 											ourié 			agu 	onvie 													de 				remplir 	soun 	ventre 					"de
            "		triailles 						que 			les 	puercs 	mangeavoun 						, 	mes 				dingu 			n’					in 			dounavo																					.
72-fran-1269	16	. 																																								Inque 								l’			arei 			prau 	voliû 																	avei son soû 							dei 		pliemirè 						"que
            "			lè 	cayon 	medzîvon						, 	mâ 				nion 			ne 			l’		én 			baliîvè 	ran																				.
73-fran-1270	16	. 								Y 																																															desitjava 																	umplir 	son 	ventre 					de 	las 	triaduras 						de 			"quels
            "	porchs 	menjavan						, 	y 				ningù 					las 	hi 					donava																					,
74-fran-1270	16	. 								Et 																																							il 								desiderave 													dé 			se 	rassasia 							di 		gouaffes 						que 			"lé
            "	pouers 	medzivant						, 	mà 				gnon 			ne 			lai 		en 			baillive																					.
75-viva-1235	16	. 																																															Al 				are 			bein 	volu 																	mezi 								lou 	caroze 	qu’	on             	baillive 							"e
            "	pouer						, 	mâ 				nion 			ne 			liui 		en 			baillîve																					.
76-viva-1235	16	. 								Et 																																															souliëtave 													dë 				rèmplir 	soun 	vèntrë 					de 	las 	"escorces
            "						que 			lous 	pourceous 	mangeavoun 						; 	mai 				degun 			n’					in 			dounave																					.
77-roma-1326	16																																																																																																																																								
78-roma-1326	16	. 								Et 																																															giavüschéva 													da 				umplir 	il 	veinter 					dels 		mailgiaduoirs 						quais 			ils 	porchs 	magliévan						, 	et 				ingün 						ils 					déva 			ad 	el																	.
79-lang-1309	16	. 								É 																																aqui 											sérié 	ista 		ben 	aisë 													de 				rempli 	soun 	ventrë 					dë 	"las
            "	pels das fruchos						që 			lous 	pors 	manghavon 						; 	mes 				dégus 			noun 				y 	en 			dounavo																					.
80-fran-1269	16	. 					Mâ		quemin		li’	îrè	nourrei	!																																			il 				arei 			bin 	volu 					avei	schon															choù			di 		pliemischè 						que			schè	cayon	 medjîvan						, 	mâ 				gnon 			non	ne		li’ 		in 			baliîvê																					.
81-prov-1235	16	. 								Quand 																																qu’il 			y 	fut		, 	il 				airait 			ben 	voulu 																s’	rempli 	l’	vente 		aveuques 				la 	grouée 						dé 				cochons							, 	mais 				personne 			ne 			li 		en 			bailleit																					.
82-prov-1235	16	. 								Et 																																aquito 											aurié 	estai 		ben 	counten 													de 			s’	emplir 	"lou
            "	ventre 					deis 		gruios 						que 	mangeavoun 		leis 	pouercs							, 	may 				degun 			ni 					n’en			dounavo																					.
83-prov-1235	16	. 								Et 																																							ly 	l’			averea 				vouchuou 																s’	enchir 	a 	ventré 					dri 		guchi 						"que
            "			ri 	porqi 	manjavan 						; 	ma 				nechun 			n’			ou 				gué 	né dagea																					.
84-high-1290	16	. 								Sa 																			misère 	dai 	stou 	misérabie 	état 		iére 	se 	grosse		"que
            "	quand 	bein 								él 								souhaitaive 					avoé 	passion 							de 				mégie 							de 	cè 							que			lés 	pors 	mégievant						, 	nion portant   				toparé 			ne 			gli 					ai baillive																					.
85-fran-1270	16	. 								Sè 																			misère 	dain 	ste 	trischte 	occupation 		était 	"sche
            "	grosse 		que 	da 	mainma 	qu’							èl 								souhaitait 		bin 				foë 							de 				maingie 							de 	ço 							que 			les 	"poës
            "	maingînt						; 	po tôt ço 				li niun 			ne 					yen 			bayaît																					.
81-fran-1270	16	. 								Sa 																			misère 	dai 	cette 		occupation 	déploraibie 	éra 	"se
            "	grosse	, 	qu’		incore 	qu’							al 								souhaitisse 					avo 	passion 							de 				mégie 								ço 							que 			les 	"pors
            "	mégint						, 					niin 	todeménée 		ne 			li 					o baillive																					.
82-fran-viva	16	. 	Dans 	ste 	trischte 	situation 				sa 																			misere 						deveniet 	"sche
            "	grosse 		que 		mauxgrà 	qu’							al 					eut 			désirie 													de 				mangie 								ço 							que 			les 	poas 	mangînt						, 					"niun
            "			n’				y 				o baïait																					.
